英文字段名,中文字段名,字段类型,说明
order_id,订单号,string,订单唯一标识
order_date,下单日期,datetime,订单创建日期
order_status,订单状态,string,订单当前状态
delivery_status,发货状态,string,发货结果
customer_id,客户编号,string,客户唯一标识
customer_name,客户名称,string,客户姓名
first_name,名,string,客户名字
last_name,姓,string,客户姓氏
customer_fname,名,string,客户名字
customer_lname,姓,string,客户姓氏
email,邮箱,string,客户电子邮箱
customer_email,邮箱,string,客户电子邮箱
segment,客户类型,string,客户分类(Consumer/Corporate/Home Office)
customer_segment,客户类型,string,客户分类(Consumer/Corporate/Home Office)
city,城市,string,客户所在城市
customer_city,城市,string,客户所在城市
country,国家,string,客户所在国家
customer_country,国家,string,客户所在国家
state,省/州,string,客户所在州/省
customer_state,省/州,string,客户所在州/省
zipcode,邮编,string,客户邮政编码
customer_zipcode,邮编,string,客户邮政编码
product_card_id,产品ID,string,产品唯一标识
product_name,产品名称,string,产品名称
product_category_id,品类ID,string,产品品类ID
category_name,产品类别,string,产品品类名称
price,产品单价,number,产品单价
product_price,产品单价,number,产品单价
product_status,库存状态,string,0可用/1不可用
shipping_mode,运输方式,string,配送方式
shipping_date,发货日期,datetime,实际发货日期
days_for_shipping_real,实际运输天数,number,实际运输天数
days_for_shipment_scheduled,预计运输天数,number,计划运输天数
tracking_number,运单号,string,物流追踪号
status_description,物流状态,string,物流状态描述
order_city,收货城市,string,订单收货城市
order_country,收货国家,string,订单收货国家
order_state,收货省/州,string,订单收货省/州
order_region,区域,string,订单目的区域
market,市场,string,市场分类
department_id,部门编号,string,商店部门代码
department_name,部门名称,string,部门名称
benefit_per_order,订单收益,number,每订单收益
sales_per_customer,累计消费,number,客户历史总消费
late_delivery_risk,延迟风险,number,1有风险/0无
order_profit_ratio,利润率,number,利润占比
latitude,纬度,number,店铺纬度
longitude,经度,number,店铺经度
type,交易类型,string,交易类型(DEBIT/TRANSFER/CASH/PAYMENT)
order_item_id,订单行ID,string,订单明细行标识
quantity,数量,number,订单中某产品的数量
order_item_quantity,数量,number,订单中某产品的数量
order_item_total,订单总金额,number,订单项总金额
discount,折扣额,number,订单项的折扣金额
order_item_discount,折扣额,number,订单项的折扣金额
discount_rate,折扣率,number,折扣率
order_item_discount_rate,折扣率,number,折扣率
profit_ratio,利润率,number,单品利润率
order_profit_per_order,订单利润,number,该订单的利润
sales,销售额,number,该订单项的销售额
product_description,产品描述,string,产品描述文本
total_orders,订单总数,number,客户订单总数
total_sales,销售总额,number,客户销售总额
delayed_orders,延迟订单数,number,延迟订单数量
cancelled_orders,取消订单数,number,取消订单数量
avg_order_profit,平均订单利润,number,平均每单利润
late_delivery_rate,延迟率,number,延迟交付比率
current_occupied_amount,占用金额,number,当前占用金额
current_pending_orders,待处理订单数,number,当前待处理订单数量
