错误编号,错误编码,场景描述,严重等级,回复模板,备注
E001,QUERY_ORDER_TIMEOUT,查询订单基本信息超时,warning,很抱歉，系统暂时无法查询订单 {order_id} 的详细信息，这可能是由于业务系统繁忙导致。我们正在重试中，预计30秒内恢复。如情况紧急，建议您稍后再次查询或联系运营专员。,触发后自动重试2次每次间隔3秒
E002,QUERY_ORDER_NOT_FOUND,查询的订单号不存在,info,未能找到订单号 {order_id} 对应的记录，请核实订单号是否输入正确。您可以提供客户名称、下单日期等信息，我来帮您进一步查找。,引导用户提供其他线索
E003,QUERY_ORDER_ITEMS_TIMEOUT,查询订单明细超时,warning,已成功获取订单 {order_id} 的基本信息，但明细查询暂未响应。完整的商品清单将在系统恢复后补充返回。,部分成功返回已有信息
E004,QUERY_CUSTOMER_TIMEOUT,查询客户信息超时,warning,暂时无法获取客户 {customer_id} 的完整档案。订单处理流程可以继续，但建议稍后补充核实客户资信信息。,允许流程降级继续
E005,QUERY_CUSTOMER_NOT_FOUND,客户ID不存在,info,系统中未找到编号为 {customer_id} 的客户记录。请确认客户编号是否正确，或提供客户姓名、邮箱等信息协助查找。,引导用户提供更多线索
E006,QUERY_PRODUCT_TIMEOUT,查询产品信息超时,warning,产品信息加载延迟，订单处理可继续进行，但产品详情及库存状态待系统恢复后补充。,非阻断项可降级继续
E007,QUERY_PRODUCT_NOT_FOUND,产品ID不存在,info,未找到产品编号为 {product_card_id} 的商品。请确认产品编号是否正确，或使用产品名称搜索。,引导用户换个方式查找
E008,QUERY_SHIPMENT_TIMEOUT,查询物流信息超时,warning,订单 {order_id} 的物流信息暂未刷新，最新轨迹更新后系统将主动推送通知。,返回已有静态信息
E009,QUERY_SHIPMENT_NOT_FOUND,物流信息不存在,info,订单 {order_id} 当前暂无物流信息，可能尚未发货或物流单号尚未录入。请确认是否已进入发货环节。,结合订单状态给出提示
E010,LOGISTICS_TRACE_FAILED,物流轨迹获取失败,warning,很抱歉，物流轨迹查询服务暂时不可用。您可以通过以下方式获取最新物流状态：- 访问物流承运商官网，输入运单号手动查询 - 联系发货仓库确认货物发运情况。服务恢复后，系统将自动补充最新轨迹。,提供替代查询建议
E011,MCP_SERVER_UNREACHABLE,MCP工具服务整体不可达,error,系统工具服务暂时不可用，这可能是由于后端服务正在维护或升级。我们的技术团队已收到告警并正在处理，预计10分钟内恢复。给您带来的不便敬请谅解。,最高级别告警通知
E012,DATABASE_CONNECTION_FAILED,数据库连接失败,error,系统数据库连接异常，当前无法处理任何查询请求。技术团队已启动应急响应，请稍后再试。如遇紧急情况，请拨打技术支持热线。,全局性故障立即告警
E013,RAG_KNOWLEDGE_RETRIEVAL_FAILED,知识库检索失败,warning,审批规范文档暂无法查阅，当前审批流程将基于已加载的基本规则继续执行。建议审批完成后，在系统恢复时补充核实合规要求。,不影响流程推进仅提示
E014,INTENT_CLASSIFICATION_LOW_CONFIDENCE,意图识别置信度过低,info,未能准确理解您的需求。您可以尝试：- 使用更具体的描述，如“查询订单PO-12345的状态” - 直接说明您想要执行的操作，如“查看物流”、“审批订单” - 输入“帮助”查看我支持的全部功能,引导用户换一种表达方式
E015,ENTITY_EXTRACTION_INCOMPLETE,关键实体提取不完整,info,我注意到您的请求中似乎缺少一些关键信息。请补充以下内容以便我准确处理：- 订单编号（如果您要查询或操作特定订单） - 客户名称或编号（如需查询客户相关） - 时间范围（如需查询某时间段的订单）,主动引导补全信息
E016,SLOT_FILLING_FAILED,槽位填充失败,info,您提供的信息还不够完整，我需要以下信息来处理您的请求：{missing_slots}。请补充后重新提交，或回复“跳过”以便我先用已知信息尝试处理。,列出缺失的槽位
E017,WORKFLOW_EXECUTION_FAILED,工作流执行异常,error,工单处理过程中遇到了意外错误，流程未能完成。该工单已自动保存处理进度，我们的运维团队将介入排查。您无需重新提交，处理结果将稍后通知。,保存进度人工兜底
E018,APPROVAL_RISK_EXCEEDS_LIMIT,审批额度超出客商额度,warning,该订单金额超出客商当前的履约额度限额，系统已将审批路径自动升级。如确属紧急，可转风控特别审批通道。,自动升级审批路径
E019,CIRCUIT_BREAKER_OPEN,某服务触发熔断,warning,由于近期服务频繁出现异常，系统已启动保护性熔断机制，稍后将自动恢复。期间相关查询将返回缓存数据（如有），数据可能存在延迟。,说明熔断状态与恢复时间
E020,TOOL_CALL_MAX_RETRIES_EXCEEDED,工具调用重试耗尽,warning,经过多次尝试，查询仍未成功。系统已记录此次异常。建议您稍后重新提交查询，或切换到备用手动流程处理。,明确告知重试次数与下一步建议
E021,SESSION_EXPIRED,会话过期,info,由于长时间未操作，当前会话已过期。您的历史处理记录已保存，请重新发起请求。如需查看之前的处理结果，可在新会话中输入“查看历史工单”。,提示重新开始
E022,CONTEXT_LENGTH_EXCEEDED,上下文超出限制,info,当前对话已积累较多信息，为保持处理效率，系统将自动总结之前的对话要点并继续处理。之前的处理结论已保存，您无需重复说明。,自动压缩用户无感
E023,GENERAL_FALLBACK,通用未分类异常,error,系统遇到了一个暂时无法处理的问题。该异常已被记录（追踪ID：{trace_id}），技术团队将尽快排查。给您带来不便，我们深表歉意。如需紧急支持，请联系人工客服。,携带Trace ID便于排障
